Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-17 17:00:54,c4:7c:8d:6d:26:c9,27.3,13,253,38
2025-04-17 17:11:30,c4:7c:8d:6d:26:c9,27.2,13,236,41
2025-04-17 17:22:06,c4:7c:8d:6d:26:c9,27.2,13,1873,39
2025-04-17 17:32:38,c4:7c:8d:6d:26:c9,27.5,13,1762,41
2025-04-17 17:43:13,c4:7c:8d:6d:26:c9,27.8,13,1825,38
2025-04-17 17:53:46,c4:7c:8d:6d:26:c9,27.9,13,1709,40
2025-04-17 18:04:22,c4:7c:8d:6d:26:c9,27.9,13,1825,37
2025-04-17 18:14:58,c4:7c:8d:6d:26:c9,27.9,13,1857,38
2025-04-17 18:25:30,c4:7c:8d:6d:26:c9,28.0,13,1787,38
2025-04-17 18:36:08,c4:7c:8d:6d:26:c9,28.0,13,1841,38
2025-04-17 18:46:45,c4:7c:8d:6d:26:c9,28.2,13,1739,38
2025-04-17 18:57:20,c4:7c:8d:6d:26:c9,28.2,13,1857,40
2025-04-17 19:07:54,c4:7c:8d:6d:26:c9,28.2,13,1825,37
2025-04-17 19:18:27,c4:7c:8d:6d:26:c9,28.3,13,1841,38
2025-04-17 19:28:58,c4:7c:8d:6d:26:c9,28.3,13,1739,40
2025-04-17 19:39:31,c4:7c:8d:6d:26:c9,28.3,13,9345,38
2025-04-17 19:50:08,c4:7c:8d:6d:26:c9,29.2,13,9410,39
2025-04-17 20:00:43,c4:7c:8d:6d:26:c9,29.9,13,9435,37
2025-04-17 20:11:20,c4:7c:8d:6d:26:c9,30.0,13,9437,39
2025-04-17 20:22:00,c4:7c:8d:6d:26:c9,30.1,13,9425,39
2025-04-17 20:32:34,c4:7c:8d:6d:26:c9,30.0,13,9457,39
2025-04-17 20:53:46,c4:7c:8d:6d:26:c9,30.0,13,9448,39
2025-04-17 21:04:19,c4:7c:8d:6d:26:c9,30.0,13,9415,37
2025-04-17 21:14:55,c4:7c:8d:6d:26:c9,29.8,13,9445,39
2025-04-17 21:25:31,c4:7c:8d:6d:26:c9,29.1,13,118,40
2025-04-17 21:46:47,c4:7c:8d:6d:26:c9,27.2,13,253,39
2025-04-17 21:57:25,c4:7c:8d:6d:26:c9,26.9,11,220,38
2025-04-17 22:07:57,c4:7c:8d:6d:26:c9,26.4,11,138,42
2025-04-17 22:18:33,c4:7c:8d:6d:26:c9,26.1,11,252,42
2025-04-17 22:29:09,c4:7c:8d:6d:26:c9,25.9,12,171,40
2025-04-17 22:39:43,c4:7c:8d:6d:26:c9,25.7,12,221,39
2025-04-17 22:50:19,c4:7c:8d:6d:26:c9,25.5,12,123,42
2025-04-17 23:00:52,c4:7c:8d:6d:26:c9,25.2,12,220,40
2025-04-17 23:11:27,c4:7c:8d:6d:26:c9,25.1,12,155,40
2025-04-17 23:22:04,c4:7c:8d:6d:26:c9,25.0,12,222,40
2025-04-17 23:32:39,c4:7c:8d:6d:26:c9,24.7,12,155,40
2025-04-17 23:43:17,c4:7c:8d:6d:26:c9,24.9,12,254,38
2025-04-17 23:53:50,c4:7c:8d:6d:26:c9,24.8,12,171,40
2025-04-18 00:04:25,c4:7c:8d:6d:26:c9,24.7,12,209,38
2025-04-18 00:15:05,c4:7c:8d:6d:26:c9,24.8,12,221,38
2025-04-18 00:25:42,c4:7c:8d:6d:26:c9,24.7,12,187,39
2025-04-18 00:36:19,c4:7c:8d:6d:26:c9,24.3,12,209,38
2025-04-18 00:46:55,c4:7c:8d:6d:26:c9,24.3,12,240,38
2025-04-18 00:57:31,c4:7c:8d:6d:26:c9,24.1,12,240,38
2025-04-18 01:08:04,c4:7c:8d:6d:26:c9,23.9,11,158,39
2025-04-18 01:18:39,c4:7c:8d:6d:26:c9,23.8,11,224,39
2025-04-18 01:29:15,c4:7c:8d:6d:26:c9,23.9,11,240,39
2025-04-18 01:39:52,c4:7c:8d:6d:26:c9,23.7,11,240,39
2025-04-18 01:50:27,c4:7c:8d:6d:26:c9,23.5,11,172,39
2025-04-18 02:01:05,c4:7c:8d:6d:26:c9,23.6,11,207,39
2025-04-18 02:11:37,c4:7c:8d:6d:26:c9,23.3,11,155,39
2025-04-18 02:32:38,c4:7c:8d:6d:26:c9,23.3,11,240,39
2025-04-18 02:43:12,c4:7c:8d:6d:26:c9,23.3,11,158,39
2025-04-18 02:53:44,c4:7c:8d:6d:26:c9,23.2,11,240,39
2025-04-18 03:04:16,c4:7c:8d:6d:26:c9,23.2,11,174,37
2025-04-18 03:14:49,c4:7c:8d:6d:26:c9,23.3,11,240,39
2025-04-18 03:25:23,c4:7c:8d:6d:26:c9,23.1,11,172,36
2025-04-18 03:36:01,c4:7c:8d:6d:26:c9,23.0,11,207,37
2025-04-18 03:46:36,c4:7c:8d:6d:26:c9,22.9,11,206,37
2025-04-18 03:57:11,c4:7c:8d:6d:26:c9,22.9,11,225,39
2025-04-18 04:07:50,c4:7c:8d:6d:26:c9,22.8,11,241,36
2025-04-18 04:18:27,c4:7c:8d:6d:26:c9,22.8,11,172,40
2025-04-18 04:29:03,c4:7c:8d:6d:26:c9,22.7,11,238,36
2025-04-18 04:39:36,c4:7c:8d:6d:26:c9,22.6,11,158,36
2025-04-18 04:50:09,c4:7c:8d:6d:26:c9,22.5,11,238,37
2025-04-18 05:00:46,c4:7c:8d:6d:26:c9,22.5,11,143,36
2025-04-18 05:11:20,c4:7c:8d:6d:26:c9,22.4,11,225,38
2025-04-18 05:21:53,c4:7c:8d:6d:26:c9,22.3,11,125,36
2025-04-18 05:32:26,c4:7c:8d:6d:26:c9,22.2,11,225,36
2025-04-18 05:42:59,c4:7c:8d:6d:26:c9,22.3,11,158,37
2025-04-18 05:53:32,c4:7c:8d:6d:26:c9,22.3,11,209,37
2025-04-18 06:04:06,c4:7c:8d:6d:26:c9,22.3,11,225,36
2025-04-18 06:14:40,c4:7c:8d:6d:26:c9,22.3,11,159,37
2025-04-18 06:25:14,c4:7c:8d:6d:26:c9,22.2,11,224,35
2025-04-18 06:35:52,c4:7c:8d:6d:26:c9,22.3,11,222,37
2025-04-18 06:46:26,c4:7c:8d:6d:26:c9,22.4,11,174,36
2025-04-18 06:57:00,c4:7c:8d:6d:26:c9,22.4,11,238,37
2025-04-18 07:07:35,c4:7c:8d:6d:26:c9,22.3,11,209,36
2025-04-18 07:18:10,c4:7c:8d:6d:26:c9,22.3,11,226,35
2025-04-18 07:28:42,c4:7c:8d:6d:26:c9,22.3,11,156,37
2025-04-18 07:39:15,c4:7c:8d:6d:26:c9,22.3,11,225,34
2025-04-18 07:49:52,c4:7c:8d:6d:26:c9,22.4,11,241,34
2025-04-18 08:00:27,c4:7c:8d:6d:26:c9,22.5,11,156,34
2025-04-18 08:11:00,c4:7c:8d:6d:26:c9,22.3,11,272,34
2025-04-18 08:21:36,c4:7c:8d:6d:26:c9,22.4,11,225,37
2025-04-18 08:32:11,c4:7c:8d:6d:26:c9,22.4,11,158,36
2025-04-18 08:42:48,c4:7c:8d:6d:26:c9,22.3,11,241,34
2025-04-18 08:53:25,c4:7c:8d:6d:26:c9,22.5,11,125,34
2025-04-18 09:03:57,c4:7c:8d:6d:26:c9,22.5,11,257,35
2025-04-18 09:14:29,c4:7c:8d:6d:26:c9,22.6,11,189,34
2025-04-18 09:25:04,c4:7c:8d:6d:26:c9,22.5,11,272,34
2025-04-18 09:35:38,c4:7c:8d:6d:26:c9,22.6,11,191,35
2025-04-18 09:46:12,c4:7c:8d:6d:26:c9,22.8,11,271,36
2025-04-18 09:56:48,c4:7c:8d:6d:26:c9,22.8,11,241,35
2025-04-18 10:07:26,c4:7c:8d:6d:26:c9,22.8,11,257,34
2025-04-18 10:18:03,c4:7c:8d:6d:26:c9,22.8,11,225,34
2025-04-18 10:28:39,c4:7c:8d:6d:26:c9,22.8,11,257,36
2025-04-18 10:39:16,c4:7c:8d:6d:26:c9,22.6,11,241,36
2025-04-18 10:49:50,c4:7c:8d:6d:26:c9,22.7,11,175,36
2025-04-18 11:00:23,c4:7c:8d:6d:26:c9,22.7,11,240,35
2025-04-18 11:10:56,c4:7c:8d:6d:26:c9,22.8,11,189,34
2025-04-18 11:21:30,c4:7c:8d:6d:26:c9,23.0,11,257,36
2025-04-18 11:32:03,c4:7c:8d:6d:26:c9,23.1,11,189,35
2025-04-18 11:42:37,c4:7c:8d:6d:26:c9,23.3,11,258,34
2025-04-18 11:53:13,c4:7c:8d:6d:26:c9,23.3,11,177,36
2025-04-18 12:03:48,c4:7c:8d:6d:26:c9,23.6,11,254,36
2025-04-18 12:14:19,c4:7c:8d:6d:26:c9,23.7,11,175,35
2025-04-18 12:24:53,c4:7c:8d:6d:26:c9,25.2,10,9382,33
2025-04-18 12:35:25,c4:7c:8d:6d:26:c9,26.5,11,9415,32
2025-04-18 12:46:01,c4:7c:8d:6d:26:c9,27.4,11,9430,30
2025-04-18 12:56:33,c4:7c:8d:6d:26:c9,28.0,11,9408,31
2025-04-18 13:07:09,c4:7c:8d:6d:26:c9,28.2,11,9455,31
2025-04-18 13:17:42,c4:7c:8d:6d:26:c9,28.5,11,9388,29
2025-04-18 13:28:14,c4:7c:8d:6d:26:c9,28.5,11,9455,31
2025-04-18 13:38:50,c4:7c:8d:6d:26:c9,28.8,11,9455,31
2025-04-18 13:49:22,c4:7c:8d:6d:26:c9,29.0,11,9422,31
2025-04-18 13:59:54,c4:7c:8d:6d:26:c9,28.8,11,9445,30
2025-04-18 14:10:29,c4:7c:8d:6d:26:c9,28.8,11,9455,31
2025-04-18 14:21:02,c4:7c:8d:6d:26:c9,29.0,11,9390,31
2025-04-18 14:31:37,c4:7c:8d:6d:26:c9,29.0,11,9455,30
2025-04-18 14:42:10,c4:7c:8d:6d:26:c9,29.1,11,9401,30
2025-04-18 14:52:44,c4:7c:8d:6d:26:c9,29.1,11,9455,30
2025-04-18 15:03:15,c4:7c:8d:6d:26:c9,29.1,11,9413,30
2025-04-18 15:13:49,c4:7c:8d:6d:26:c9,29.2,11,9433,30
2025-04-18 15:24:24,c4:7c:8d:6d:26:c9,29.2,11,9390,32
2025-04-18 15:34:56,c4:7c:8d:6d:26:c9,29.3,11,9457,31
2025-04-18 15:45:30,c4:7c:8d:6d:26:c9,29.3,11,9413,32
2025-04-18 15:56:07,c4:7c:8d:6d:26:c9,29.3,11,9455,32
2025-04-18 16:06:43,c4:7c:8d:6d:26:c9,29.3,11,9448,32
2025-04-18 16:17:17,c4:7c:8d:6d:26:c9,29.3,11,9403,33
2025-04-18 16:27:52,c4:7c:8d:6d:26:c9,29.6,11,9448,33
2025-04-18 16:38:25,c4:7c:8d:6d:26:c9,29.4,11,9413,33
2025-04-18 16:48:57,c4:7c:8d:6d:26:c9,29.4,11,9425,32
2025-04-18 16:59:33,c4:7c:8d:6d:26:c9,29.3,11,9448,32
2025-04-18 17:10:06,c4:7c:8d:6d:26:c9,29.4,11,9403,33
2025-04-18 17:20:38,c4:7c:8d:6d:26:c9,29.5,11,9437,33
2025-04-18 17:31:10,c4:7c:8d:6d:26:c9,29.4,11,9433,33
2025-04-18 17:41:46,c4:7c:8d:6d:26:c9,29.4,11,9448,32
2025-04-18 17:52:22,c4:7c:8d:6d:26:c9,29.4,11,9445,33
