Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-05-03 08:11:23,c4:7c:8d:6d:24:9e,21.5,5,4133,0
2025-05-03 08:21:47,c4:7c:8d:6d:24:9e,22.1,5,4256,0
2025-05-03 08:32:12,c4:7c:8d:6d:24:9e,22.6,5,4560,0
2025-05-03 08:42:40,c4:7c:8d:6d:24:9e,23.2,5,4988,0
2025-05-03 09:03:17,c4:7c:8d:6d:24:9e,24.7,5,5328,0
2025-05-03 09:23:53,c4:7c:8d:6d:24:9e,26.0,5,5425,0
2025-05-03 09:34:17,c4:7c:8d:6d:24:9e,26.4,5,5482,0
2025-05-03 09:44:51,c4:7c:8d:6d:24:9e,27.2,5,5406,0
2025-05-03 09:55:15,c4:7c:8d:6d:24:9e,27.7,5,5289,0
2025-05-03 10:05:39,c4:7c:8d:6d:24:9e,28.2,5,5639,0
2025-05-03 10:16:03,c4:7c:8d:6d:24:9e,28.8,5,6119,0
2025-05-03 10:36:41,c4:7c:8d:6d:24:9e,29.2,5,6297,0
2025-05-03 10:47:09,c4:7c:8d:6d:24:9e,30.0,6,6119,0
2025-05-03 10:57:34,c4:7c:8d:6d:24:9e,30.5,6,6373,0
2025-05-03 11:18:13,c4:7c:8d:6d:24:9e,30.6,6,7184,0
2025-05-03 11:28:48,c4:7c:8d:6d:24:9e,31.0,6,8461,0
2025-05-03 11:39:13,c4:7c:8d:6d:24:9e,31.7,6,7912,0
2025-05-03 11:49:50,c4:7c:8d:6d:24:9e,31.4,6,7835,0
2025-05-03 12:00:19,c4:7c:8d:6d:24:9e,31.8,6,7758,0
2025-05-03 12:10:43,c4:7c:8d:6d:24:9e,31.5,6,5064,0
2025-05-03 12:52:11,c4:7c:8d:6d:24:9e,34.4,6,8994,0
2025-05-03 13:02:36,c4:7c:8d:6d:24:9e,34.0,6,9478,0
2025-05-03 13:23:15,c4:7c:8d:6d:24:9e,35.1,6,8910,0
2025-05-03 13:44:05,c4:7c:8d:6d:24:9e,29.5,6,7772,0
2025-05-03 13:54:35,c4:7c:8d:6d:24:9e,28.2,6,5731,0
2025-05-03 14:04:59,c4:7c:8d:6d:24:9e,31.5,6,3540,0
2025-05-03 14:15:24,c4:7c:8d:6d:24:9e,30.3,6,1975,0
2025-05-03 14:25:50,c4:7c:8d:6d:24:9e,27.3,6,2806,0
2025-05-03 14:36:14,c4:7c:8d:6d:24:9e,26.0,5,18980,0
2025-05-03 14:46:43,c4:7c:8d:6d:24:9e,32.4,6,5334,0
2025-05-03 14:57:07,c4:7c:8d:6d:24:9e,32.6,6,30250,0
2025-05-03 15:07:31,c4:7c:8d:6d:24:9e,46.0,7,57768,0
2025-05-03 15:17:56,c4:7c:8d:6d:24:9e,45.8,7,10122,0
2025-05-03 15:28:20,c4:7c:8d:6d:24:9e,39.9,6,9794,0
2025-05-03 15:38:43,c4:7c:8d:6d:24:9e,35.3,5,10582,0
2025-05-03 15:49:08,c4:7c:8d:6d:24:9e,32.4,5,6085,0
2025-05-03 15:59:32,c4:7c:8d:6d:24:9e,30.4,5,5710,0
2025-05-03 16:09:56,c4:7c:8d:6d:24:9e,30.1,5,8216,0
2025-05-03 16:20:19,c4:7c:8d:6d:24:9e,29.6,5,5464,0
2025-05-03 16:30:43,c4:7c:8d:6d:24:9e,29.5,5,3936,0
2025-05-03 16:41:10,c4:7c:8d:6d:24:9e,29.1,5,4928,0
2025-05-03 16:51:34,c4:7c:8d:6d:24:9e,29.0,5,6058,0
2025-05-03 17:01:59,c4:7c:8d:6d:24:9e,28.4,5,2329,0
2025-05-03 17:12:22,c4:7c:8d:6d:24:9e,28.3,5,4215,0
2025-05-03 17:22:47,c4:7c:8d:6d:24:9e,28.6,5,2801,0
2025-05-03 17:33:12,c4:7c:8d:6d:24:9e,27.9,5,3172,0
2025-05-03 17:43:36,c4:7c:8d:6d:24:9e,28.4,5,3071,0
2025-05-03 17:53:59,c4:7c:8d:6d:24:9e,27.8,5,2254,0
2025-05-03 18:04:24,c4:7c:8d:6d:24:9e,27.7,5,4038,0
2025-05-03 18:14:48,c4:7c:8d:6d:24:9e,27.8,5,3062,0
2025-05-03 18:25:12,c4:7c:8d:6d:24:9e,27.4,5,2747,0
2025-05-03 18:35:38,c4:7c:8d:6d:24:9e,26.8,5,1492,0
2025-05-03 18:56:28,c4:7c:8d:6d:24:9e,25.2,5,572,0
2025-05-03 19:06:52,c4:7c:8d:6d:24:9e,24.4,5,698,0
2025-05-03 19:17:16,c4:7c:8d:6d:24:9e,24.0,5,682,0
2025-05-03 19:27:40,c4:7c:8d:6d:24:9e,23.7,5,465,0
2025-05-03 19:38:05,c4:7c:8d:6d:24:9e,23.1,5,303,0
2025-05-03 19:48:29,c4:7c:8d:6d:24:9e,22.7,5,183,0
2025-05-03 19:58:54,c4:7c:8d:6d:24:9e,22.3,5,99,0
2025-05-03 20:09:18,c4:7c:8d:6d:24:9e,22.0,5,120,0
2025-05-03 20:19:42,c4:7c:8d:6d:24:9e,21.7,5,117,0
2025-05-03 20:30:06,c4:7c:8d:6d:24:9e,21.5,4,102,0
2025-05-03 21:01:18,c4:7c:8d:6d:24:9e,20.9,5,65,0
2025-05-03 21:11:42,c4:7c:8d:6d:24:9e,20.8,4,102,0
2025-05-03 21:22:06,c4:7c:8d:6d:24:9e,20.7,4,81,0
2025-05-03 21:32:31,c4:7c:8d:6d:24:9e,20.7,4,99,0
2025-05-03 21:42:57,c4:7c:8d:6d:24:9e,20.6,4,45,0
2025-05-03 22:03:48,c4:7c:8d:6d:24:9e,20.3,4,121,0
2025-05-03 22:14:12,c4:7c:8d:6d:24:9e,20.4,4,84,0
2025-05-03 22:24:37,c4:7c:8d:6d:24:9e,20.3,5,135,0
2025-05-03 22:35:02,c4:7c:8d:6d:24:9e,20.2,5,65,0
2025-05-03 22:45:26,c4:7c:8d:6d:24:9e,20.0,5,99,0
2025-05-03 22:55:50,c4:7c:8d:6d:24:9e,19.9,5,81,0
2025-05-03 23:06:14,c4:7c:8d:6d:24:9e,19.9,5,100,0
2025-05-03 23:16:39,c4:7c:8d:6d:24:9e,19.7,5,84,0
2025-05-03 23:27:03,c4:7c:8d:6d:24:9e,19.6,5,121,0
2025-05-03 23:37:27,c4:7c:8d:6d:24:9e,19.2,5,102,0
2025-05-03 23:47:51,c4:7c:8d:6d:24:9e,19.0,5,99,0
2025-05-03 23:58:15,c4:7c:8d:6d:24:9e,18.9,5,102,0
2025-05-04 00:08:39,c4:7c:8d:6d:24:9e,18.8,5,81,0
2025-05-04 00:19:05,c4:7c:8d:6d:24:9e,18.7,5,63,0
2025-05-04 00:39:54,c4:7c:8d:6d:24:9e,18.5,5,100,0
2025-05-04 00:50:18,c4:7c:8d:6d:24:9e,18.4,5,26,0
2025-05-04 01:00:42,c4:7c:8d:6d:24:9e,18.3,5,100,0
2025-05-04 01:11:06,c4:7c:8d:6d:24:9e,18.1,5,61,0
2025-05-04 01:31:54,c4:7c:8d:6d:24:9e,17.9,5,118,0
2025-05-04 01:42:20,c4:7c:8d:6d:24:9e,17.7,5,65,0
2025-05-04 01:52:44,c4:7c:8d:6d:24:9e,17.6,5,102,0
2025-05-04 02:03:10,c4:7c:8d:6d:24:9e,17.5,5,47,0
2025-05-04 02:13:34,c4:7c:8d:6d:24:9e,17.5,5,84,0
2025-05-04 02:23:57,c4:7c:8d:6d:24:9e,17.5,5,24,0
2025-05-04 02:44:49,c4:7c:8d:6d:24:9e,17.3,5,84,0
2025-05-04 02:55:12,c4:7c:8d:6d:24:9e,17.3,5,84,0
2025-05-04 03:16:01,c4:7c:8d:6d:24:9e,17.2,5,102,0
2025-05-04 03:26:29,c4:7c:8d:6d:24:9e,17.3,5,84,0
2025-05-04 03:36:53,c4:7c:8d:6d:24:9e,17.3,5,120,0
2025-05-04 03:47:16,c4:7c:8d:6d:24:9e,17.1,5,47,0
2025-05-04 03:57:40,c4:7c:8d:6d:24:9e,17.3,5,120,0
2025-05-04 04:18:28,c4:7c:8d:6d:24:9e,17.0,5,65,0
2025-05-04 04:39:18,c4:7c:8d:6d:24:9e,17.0,5,121,0
2025-05-04 04:49:43,c4:7c:8d:6d:24:9e,17.0,5,47,0
2025-05-04 05:00:07,c4:7c:8d:6d:24:9e,17.1,5,86,0
2025-05-04 05:10:31,c4:7c:8d:6d:24:9e,17.2,5,26,0
2025-05-04 05:20:55,c4:7c:8d:6d:24:9e,17.3,5,82,0
2025-05-04 05:31:19,c4:7c:8d:6d:24:9e,17.2,5,6,0
2025-05-04 05:52:07,c4:7c:8d:6d:24:9e,17.3,5,121,0
2025-05-04 06:12:55,c4:7c:8d:6d:24:9e,17.3,5,230,0
2025-05-04 06:23:19,c4:7c:8d:6d:24:9e,17.4,5,487,0
2025-05-04 06:33:44,c4:7c:8d:6d:24:9e,17.7,5,722,0
2025-05-04 06:44:09,c4:7c:8d:6d:24:9e,17.8,5,1064,0
2025-05-04 06:54:33,c4:7c:8d:6d:24:9e,18.1,5,1018,0
2025-05-04 07:15:20,c4:7c:8d:6d:24:9e,18.2,5,878,0
2025-05-04 07:25:43,c4:7c:8d:6d:24:9e,18.1,5,784,0
2025-05-04 07:36:07,c4:7c:8d:6d:24:9e,18.2,5,877,0
2025-05-04 07:56:56,c4:7c:8d:6d:24:9e,18.3,5,1250,0
